ID;NOME;CLASSIFICACAO;POT_UNTRD;POT_UNTRS
18520012;SESD VILA GRACA;1a. Distribuição (Carga Real > 0);36005.0;0.0
18520821;SETD COMENDADOR SOARES;1a. Distribuição (Carga Real > 0);169240.0;120.0
1132;SETD RAMOS;1a. Distribuição (Carga Real > 0);143695.0;80.0
18520371;SETD VIGARIO;2a. Transformadora (Potência > 0);0.0;37.5
277466365;SETD FONTES NOVA;4. Transporte (Sem Topologia);0.0;0.0
612564864;SETD ZONA OESTE;4. Transporte (Sem Topologia);0.0;0.0
18520021;SESD MARAJOARA;1a. Distribuição (Carga Real > 0);25760.0;0.0
18520839;SETD COSMOS;1a. Distribuição (Carga Real > 0);150485.0;60.0
277466374;SEMT MAJOR VAZ;3. Transporte (Com Topologia);0.0;0.0
18521271;SESD VILA POMBAL;1a. Distribuição (Carga Real > 0);7082.5;0.0
280191075;SETD PAPEL PIRAHY;4. Transporte (Sem Topologia);0.0;0.0
18521280;SESD RIO SANTOS;1a. Distribuição (Carga Real > 0);22820.0;0.0
18521298;SESD CAMPO ALEGRE;1a. Distribuição (Carga Real > 0);14745.0;0.0
280223189;SETD CIFERAL;4. Transporte (Sem Topologia);0.0;0.0
18521307;SESD ANTA;1a. Distribuição (Carga Real > 0);17145.0;0.0
280389625;SETD CARMARI;1a. Distribuição (Carga Real > 0);103905.0;60.0
18521325;SESD ILHA DA MADEIRA;1a. Distribuição (Carga Real > 0);9757.5;0.0
18521334;SESD POSSE;1a. Distribuição (Carga Real > 0);7272.5;0.0
283540595;SETD GRAJAU;4. Transporte (Sem Topologia);0.0;0.0
18521352;SETD ELDORADO;2a. Transformadora (Potência > 0);0.0;36.0
284879469;SETD BAYER;4. Transporte (Sem Topologia);0.0;0.0
284879616;SETD GUANDU;4. Transporte (Sem Topologia);0.0;0.0
18521082;SESD MIGUEL COUTO;1a. Distribuição (Carga Real > 0);29827.5;0.0
284879839;SETD PANAMERICANA;4. Transporte (Sem Topologia);0.0;0.0
22183116;SESD PIAI;1a. Distribuição (Carga Real > 0);28207.5;0.0
18521100;SESD CABUCU;1a. Distribuição (Carga Real > 0);26572.5;0.0
25334769;SESD UNIVERSIDADE;1a. Distribuição (Carga Real > 0);37477.5;0.0
284904325;SETD SÃO JOSÉ;4. Transporte (Sem Topologia);0.0;0.0
18521109;SESD PEDREIRA;1a. Distribuição (Carga Real > 0);32985.0;0.0
18521118;SESD SANTA RITA;1a. Distribuição (Carga Real > 0);16680.0;0.0
1195;SETD BOCA DO MATO;1a. Distribuição (Carga Real > 0);196017.5;120.0
25455230;SESD GUARATIBA;1a. Distribuição (Carga Real > 0);45745.0;0.0
1204;SETD TRIAGEM;1a. Distribuição (Carga Real > 0);150655.0;140.0
25764042;SESD MAZOMBA;1a. Distribuição (Carga Real > 0);12255.0;0.0
1213;SETD GOVERNADOR;1a. Distribuição (Carga Real > 0);137867.5;60.0
25794114;SESD CAÇADOR;1a. Distribuição (Carga Real > 0);12735.0;0.0
1222;SETD FUNDAO;1a. Distribuição (Carga Real > 0);8552.5;80.0
25987899;SESD VERIDIANA;1a. Distribuição (Carga Real > 0);3000.0;0.0
29148432;SETD MATO ALTO;2a. Transformadora (Potência > 0);0.0;94.8
1231;SETD PIEDADE;1a. Distribuição (Carga Real > 0);137127.5;80.0
29186320;SEMT TERMINAL SUL;3. Transporte (Com Topologia);0.0;0.0
30526190;SESD PALMAS;1a. Distribuição (Carga Real > 0);8397.5;0.0
18521127;SESD MIGUEL PEREIRA;1a. Distribuição (Carga Real > 0);36940.0;0.0
1240;SETD PEDRO ERNESTO;1a. Distribuição (Carga Real > 0);241492.5;120.0
18521136;SETD SANTISSIMO;2a. Transformadora (Potência > 0);0.0;72.8
34192093;SETD SANTA CLARA;1a. Distribuição (Carga Real > 0);108895.0;60.0
18520299;SETD SANTA CECILIA;2a. Transformadora (Potência > 0);0.0;94.8
18520605;SESD PARAIBA DO SUL;1a. Distribuição (Carga Real > 0);36445.0;0.0
18520308;SESD SANTA ISABEL;1a. Distribuição (Carga Real > 0);16032.5;0.0
18520317;SESD VARGEM ALEGRE;1a. Distribuição (Carga Real > 0);14887.5;0.0
18520614;SETD SAPUCAIA;2a. Transformadora (Potência > 0);0.0;18.75
18520326;SETD TRES RIOS;1a. Distribuição (Carga Real > 0);98267.5;112.0
18520335;SESD RIO DAS FLORES;1a. Distribuição (Carga Real > 0);19957.5;0.0
18520623;SESD CAMPO GRANDE;1a. Distribuição (Carga Real > 0);38820.0;0.0
18520632;SESD MORRO AZUL;1a. Distribuição (Carga Real > 0);11730.0;0.0
551882056;SETD SIDERURGICA BARRA MANSA;4. Transporte (Sem Topologia);0.0;0.0
18520650;SESD PIRAI;1a. Distribuição (Carga Real > 0);28687.5;0.0
18520641;SESD MENDES;1a. Distribuição (Carga Real > 0);25957.5;0.0
18520659;SESD PAULO DE FRONTIN NOVA;1a. Distribuição (Carga Real > 0);16160.0;0.0
18520668;SESD ARROZAL;1a. Distribuição (Carga Real > 0);13922.5;0.0
18520677;SESD ENGENHEIRO NOBREGA;1a. Distribuição (Carga Real > 0);11512.5;0.0
18520686;SESD BARRA DO PIRAI;1a. Distribuição (Carga Real > 0);29355.0;0.0
18520695;SESD CAMPINA;1a. Distribuição (Carga Real > 0);36562.5;0.0
18520704;SESD MAGARÇA;1a. Distribuição (Carga Real > 0);35400.0;0.0
553208911;SETD COMPANHIA SIDERURGICA NACIONAL;4. Transporte (Sem Topologia);0.0;0.0
1141;SETD CACHAMBI;1a. Distribuição (Carga Real > 0);258255.0;120.0
18520713;SESD QUINCAS;1a. Distribuição (Carga Real > 0);36730.0;0.0
1150;SETD GUANABARA;1a. Distribuição (Carga Real > 0);148750.0;120.0
1159;SETD BRAS DE PINA;1a. Distribuição (Carga Real > 0);144817.5;97.5
1168;SETD DEMOCRATICOS;1a. Distribuição (Carga Real > 0);153917.5;60.0
1177;SETD VILA VALQUEIRE;1a. Distribuição (Carga Real > 0);169742.5;120.0
1186;SETD CASCADURA;1a. Distribuição (Carga Real > 0);301007.5;236.0
358270314;SETD PORTO DE GRANEIS;4. Transporte (Sem Topologia);0.0;0.0
405941887;SESD SANTA ROSA;1a. Distribuição (Carga Real > 0);8725.0;0.0
10385925;SETD LEME;1a. Distribuição (Carga Real > 0);61110.0;80.0
406362690;SESD RIO DOURO;1a. Distribuição (Carga Real > 0);9845.0;0.0
18520911;SETD ZONA INDUSTRIAL;1a. Distribuição (Carga Real > 0);39247.5;40.0
10385934;SETD BOTAFOGO;1a. Distribuição (Carga Real > 0);125775.0;120.0
18520920;SESD MORSING;1a. Distribuição (Carga Real > 0);6867.5;0.0
427261589;SESD VALENÇA NOVA;1a. Distribuição (Carga Real > 0);25387.5;0.0
432307066;SETD FUNIL;4. Transporte (Sem Topologia);0.0;0.0
18520452;SESD JUNQUEIRA;1a. Distribuição (Carga Real > 0);44010.0;0.0
10385943;SETD ALVORADA;1a. Distribuição (Carga Real > 0);229562.5;120.0
432328516;SETD VULCAN;4. Transporte (Sem Topologia);0.0;0.0
10385961;SETD BAEPENDI;1a. Distribuição (Carga Real > 0);194447.5;120.0
18520461;SETD ARI FRANCO;1a. Distribuição (Carga Real > 0);211287.5;120.0
10385970;SETD SANTO ANTONIO;1a. Distribuição (Carga Real > 0);250217.5;240.0
432333038;SETD UFEM;4. Transporte (Sem Topologia);0.0;0.0
10385979;SETD URUGUAI;1a. Distribuição (Carga Real > 0);118220.0;60.0
10385988;SETD ITAPEBA;1a. Distribuição (Carga Real > 0);250005.0;120.0
449886789;SETD INFLUENCIA;2a. Transformadora (Potência > 0);0.0;37.5
450101398;SETD PACIENCIA;1a. Distribuição (Carga Real > 0);162292.5;120.0
18520470;SETD VOLTA REDONDA;1a. Distribuição (Carga Real > 0);159052.5;117.999
453768618;SETR GLOBO;4. Transporte (Sem Topologia);0.0;0.0
455138316;SESD MANGUARIBA;1a. Distribuição (Carga Real > 0);6135.0;0.0
10385997;SETD SAMARITANO;1a. Distribuição (Carga Real > 0);99570.0;80.0
18520479;SETD PADRE MIGUEL;1a. Distribuição (Carga Real > 0);183722.5;120.0
457474244;SETD GARDENIA;1a. Distribuição (Carga Real > 0);146240.0;120.0
18520488;SETD CAMARA;1a. Distribuição (Carga Real > 0);263130.0;120.0
457701774;SESD CARAMUJOS;1a. Distribuição (Carga Real > 0);17045.0;0.0
18520497;SESD KENEDY;1a. Distribuição (Carga Real > 0);35115.0;0.0
461733896;SEMT INTEGRAÇÃO;3. Transporte (Com Topologia);0.0;0.0
18520506;SESD CANANEIA;1a. Distribuição (Carga Real > 0);4345.0;0.0
10386006;SETD RIO COMPRIDO;1a. Distribuição (Carga Real > 0);212720.0;120.0
18520515;SESD SAO FRANCISCO;1a. Distribuição (Carga Real > 0);7460.0;0.0
469239770;SETD PCH PARACAMBI;4. Transporte (Sem Topologia);0.0;0.0
18520929;SETD INMETRO;1a. Distribuição (Carga Real > 0);53857.5;40.0
473714081;SETD AIR LIQUIDE - MESSER;4. Transporte (Sem Topologia);0.0;0.0
10386015;SETD CAMERINO;1a. Distribuição (Carga Real > 0);228665.0;200.0
484023983;SETR METRO BARRA;4. Transporte (Sem Topologia);0.0;0.0
18520938;SESD SANTANESIA;1a. Distribuição (Carga Real > 0);17402.5;0.0
488045000;SEMT NOVA IGUAÇU;4. Transporte (Sem Topologia);0.0;0.0
18520956;SESD TEOFILO;1a. Distribuição (Carga Real > 0);30505.0;0.0
10386060;SETD SÃO CONRADO;1a. Distribuição (Carga Real > 0);131667.5;60.0
497739010;SESD VILA AMERICANA;1a. Distribuição (Carga Real > 0);20612.5;0.0
10386069;SETD SANTA LUZIA;1a. Distribuição (Carga Real > 0);139882.5;120.0
