ID;NOME;CLASSIFICACAO;QTD_UNTRD
18520012;SESD VILA GRACA;2. Distribuição Satélite;498
18520821;SETD COMENDADOR SOARES;1. Distribuição Plena;1297
1132;SETD RAMOS;1. Distribuição Plena;475
18520371;SETD VIGARIO;3. Transformadora Pura;0
277466365;SETD FONTES NOVA;4. Transporte/Manobra;0
612564864;SETD ZONA OESTE;4. Transporte/Manobra;0
18520021;SESD MARAJOARA;2. Distribuição Satélite;265
18520839;SETD COSMOS;1. Distribuição Plena;998
277466374;SEMT MAJOR VAZ;4. Transporte/Manobra;0
18521271;SESD VILA POMBAL;2. Distribuição Satélite;39
280191075;SETD PAPEL PIRAHY;4. Transporte/Manobra;0
18521280;SESD RIO SANTOS;2. Distribuição Satélite;154
18521298;SESD CAMPO ALEGRE;2. Distribuição Satélite;25
280223189;SETD CIFERAL;4. Transporte/Manobra;0
18521307;SESD ANTA;2. Distribuição Satélite;469
280389625;SETD CARMARI;1. Distribuição Plena;882
18521325;SESD ILHA DA MADEIRA;2. Distribuição Satélite;54
18521334;SESD POSSE;2. Distribuição Satélite;148
283540595;SETD GRAJAU;4. Transporte/Manobra;0
18521352;SETD ELDORADO;3. Transformadora Pura;0
284879469;SETD BAYER;4. Transporte/Manobra;0
284879616;SETD GUANDU;4. Transporte/Manobra;0
18521082;SESD MIGUEL COUTO;2. Distribuição Satélite;149
284879839;SETD PANAMERICANA;4. Transporte/Manobra;0
22183116;SESD PIAI;2. Distribuição Satélite;129
18521100;SESD CABUCU;2. Distribuição Satélite;153
25334769;SESD UNIVERSIDADE;2. Distribuição Satélite;252
284904325;SETD SÃO JOSÉ;4. Transporte/Manobra;0
18521109;SESD PEDREIRA;2. Distribuição Satélite;169
18521118;SESD SANTA RITA;2. Distribuição Satélite;218
1195;SETD BOCA DO MATO;1. Distribuição Plena;829
25455230;SESD GUARATIBA;2. Distribuição Satélite;279
1204;SETD TRIAGEM;1. Distribuição Plena;631
25764042;SESD MAZOMBA;2. Distribuição Satélite;162
1213;SETD GOVERNADOR;1. Distribuição Plena;734
25794114;SESD CAÇADOR;2. Distribuição Satélite;353
1222;SETD FUNDAO;1. Distribuição Plena;59
25987899;SESD VERIDIANA;1. Distribuição Plena (Circuito não mapeado);1
29148432;SETD MATO ALTO;3. Transformadora Pura;0
1231;SETD PIEDADE;1. Distribuição Plena;717
29186320;SEMT TERMINAL SUL;4. Transporte/Manobra;0
30526190;SESD PALMAS;2. Distribuição Satélite;114
18521127;SESD MIGUEL PEREIRA;2. Distribuição Satélite;394
1240;SETD PEDRO ERNESTO;1. Distribuição Plena;1104
18521136;SETD SANTISSIMO;3. Transformadora Pura;0
34192093;SETD SANTA CLARA;1. Distribuição Plena;987
18520299;SETD SANTA CECILIA;3. Transformadora Pura;0
