ID;NOME;CLASSIFICACAO
1168;SETD DEMOCRATICOS;1. Distribuição (Carga)
1177;SETD VILA VALQUEIRE;1. Distribuição (Carga)
1186;SETD CASCADURA;1. Distribuição (Carga)
358270314;SETD PORTO DE GRANEIS;4. Transporte (Sem Topologia)
405941887;SESD SANTA ROSA;1. Distribuição (Carga)
10385925;SETD LEME;1. Distribuição (Carga)
406362690;SESD RIO DOURO;1. Distribuição (Carga)
18520911;SETD ZONA INDUSTRIAL;1. Distribuição (Carga)
10385934;SETD BOTAFOGO;1. Distribuição (Carga)
18520920;SESD MORSING;1. Distribuição (Carga)
427261589;SESD VALENÇA NOVA;1. Distribuição (Carga)
432307066;SETD FUNIL;4. Transporte (Sem Topologia)
18520452;SESD JUNQUEIRA;1. Distribuição (Carga)
10385943;SETD ALVORADA;1. Distribuição (Carga)
432328516;SETD VULCAN;4. Transporte (Sem Topologia)
10385961;SETD BAEPENDI;1. Distribuição (Carga)
18520461;SETD ARI FRANCO;1. Distribuição (Carga)
10385970;SETD SANTO ANTONIO;1. Distribuição (Carga)
432333038;SETD UFEM;4. Transporte (Sem Topologia)
10385979;SETD URUGUAI;1. Distribuição (Carga)
10385988;SETD ITAPEBA;1. Distribuição (Carga)
449886789;SETD INFLUENCIA;2. Transformadora
450101398;SETD PACIENCIA;1. Distribuição (Carga)
18520470;SETD VOLTA REDONDA;1. Distribuição (Carga)
453768618;SETR GLOBO;4. Transporte (Sem Topologia)
455138316;SESD MANGUARIBA;1. Distribuição (Carga)
10385997;SETD SAMARITANO;1. Distribuição (Carga)
18520479;SETD PADRE MIGUEL;1. Distribuição (Carga)
457474244;SETD GARDENIA;1. Distribuição (Carga)
18520488;SETD CAMARA;1. Distribuição (Carga)
457701774;SESD CARAMUJOS;1. Distribuição (Carga)
18520497;SESD KENEDY;1. Distribuição (Carga)
461733896;SEMT INTEGRAÇÃO;3. Transporte (Com Topologia)
18520506;SESD CANANEIA;1. Distribuição (Carga)
10386006;SETD RIO COMPRIDO;1. Distribuição (Carga)
18520515;SESD SAO FRANCISCO;1. Distribuição (Carga)
469239770;SETD PCH PARACAMBI;4. Transporte (Sem Topologia)
18520929;SETD INMETRO;1. Distribuição (Carga)
473714081;SETD AIR LIQUIDE - MESSER;4. Transporte (Sem Topologia)
10386015;SETD CAMERINO;1. Distribuição (Carga)
484023983;SETR METRO BARRA;4. Transporte (Sem Topologia)
18520938;SESD SANTANESIA;1. Distribuição (Carga)
488045000;SEMT NOVA IGUAÇU;4. Transporte (Sem Topologia)
18520956;SESD TEOFILO;1. Distribuição (Carga)
10386060;SETD SÃO CONRADO;1. Distribuição (Carga)
497739010;SESD VILA AMERICANA;1. Distribuição (Carga)
10386069;SETD SANTA LUZIA;1. Distribuição (Carga)
