ID;NOME;STATUS;POT_UNTRS;VIZINHOS;QTD_VIZINHOS
18520767;SETD ROCHA FREIRE;TRANSFORMADORA;72.8;;0
277466338;SETR BERNARDINO DE MELO;TRANSPORTE/VAZIA;0.0;;0
10385889;SETD ALDEIA CAMPISTA;CARGA;120.0;;0
18520003;SESD AVELAR;CARGA;0.0;;0
18520785;SETD CAXIAS;CARGA;120.0;;0
277466347;SETD COSIGUA SANTA CRUZ;TRANSPORTE/VAZIA;0.0;;0
574520576;SETD JACAREPAGUÁ;TRANSPORTE/VAZIA;0.0;;0
277466356;SETD ELETROBOLT;TRANSPORTE/VAZIA;0.0;;0
18520362;SESD ANDRADE PINTO;CARGA;0.0;;0
18520012;SESD VILA GRACA;CARGA;0.0;;0
18520821;SETD COMENDADOR SOARES;CARGA;120.0;;0
1132;SETD RAMOS;CARGA;80.0;;0
18520371;SETD VIGARIO;TRANSFORMADORA;37.5;;0
277466365;SETD FONTES NOVA;TRANSPORTE/VAZIA;0.0;;0
612564864;SETD ZONA OESTE;TRANSPORTE/VAZIA;0.0;;0
18520021;SESD MARAJOARA;CARGA;0.0;;0
18520839;SETD COSMOS;CARGA;60.0;;0
277466374;SEMT MAJOR VAZ;TRANSPORTE/VAZIA;0.0;;0
18521271;SESD VILA POMBAL;CARGA;0.0;;0
280191075;SETD PAPEL PIRAHY;TRANSPORTE/VAZIA;0.0;;0
18521280;SESD RIO SANTOS;CARGA;0.0;;0
18521298;SESD CAMPO ALEGRE;CARGA;0.0;;0
280223189;SETD CIFERAL;TRANSPORTE/VAZIA;0.0;;0
18521307;SESD ANTA;CARGA;0.0;;0
280389625;SETD CARMARI;CARGA;60.0;;0
18521325;SESD ILHA DA MADEIRA;CARGA;0.0;;0
18521334;SESD POSSE;CARGA;0.0;;0
283540595;SETD GRAJAU;TRANSPORTE/VAZIA;0.0;;0
18521352;SETD ELDORADO;TRANSFORMADORA;36.0;;0
284879469;SETD BAYER;TRANSPORTE/VAZIA;0.0;;0
284879616;SETD GUANDU;TRANSPORTE/VAZIA;0.0;;0
18521082;SESD MIGUEL COUTO;CARGA;0.0;;0
284879839;SETD PANAMERICANA;TRANSPORTE/VAZIA;0.0;;0
22183116;SESD PIAI;CARGA;0.0;;0
