LATITUDE,LONGITUDE
-22.83857,-43.402627
-22.441812,-44.316902
-21.573426,-41.805726
-22.758673,-43.44024
-22.878058,-43.296526
-22.909149,-43.538729
-22.784383,-43.412346
-22.781224,-42.94007
-22.823161,-43.361076
-22.921912,-43.948618
-22.81584,-43.183941
-22.92922,-42.878284
-22.902756,-43.609286
-22.924944,-43.35555
-22.194029,-41.424795
-22.750637,-43.460886
-22.858854,-43.546738
-22.848421,-43.266521
-22.897288,-43.364405
-22.870633,-43.318468
-22.718819,-44.12063
-22.927336,-43.55124
-22.83605,-42.216867
-22.818134,-43.039264
-22.612386,-43.712394
-22.939495,-43.175729
-22.88698,-43.312352
-22.822457,-43.174874
-22.042968,-41.433436
-22.757857,-41.883576
-21.12547,-41.678402
-22.783372,-43.310711
-21.713512,-41.790462
-22.791077,-43.377171
-22.762447,-42.862726
-22.475641,-44.505937
-22.930085,-43.370633
-22.066005,-42.063188
-22.873321,-43.495656
-22.85375,-43.357851
-22.716931,-43.375072
-22.287773,-42.549264
-22.803734,-43.0498
-22.60013,-42.000338
-22.766567,-42.892822
-22.719642,-43.340358
-22.719827,-43.352773
-22.535559,-44.128702
-22.956576,-43.184626
-22.818417,-43.272656
-22.800452,-43.186873
-21.196572,-41.88467
-22.888189,-43.228829
-21.624631,-42.25871
-21.188506,-41.880296
-22.852662,-43.345663
-22.993008,-43.237513
-22.662881,-42.768415
-22.581093,-43.301862
-22.852352,-43.394547
-21.753881,-41.332903
-22.89926,-43.261205
-22.175096,-41.574646
-22.956332,-43.184852
-22.849195,-43.466568
-22.453261,-44.297864
-22.743102,-43.335912
-22.825436,-43.286463
-22.968502,-43.643793
-23.023696,-44.165702
-22.491885,-43.154519
-23.011731,-44.528292
-22.960702,-43.191184
-22.683122,-42.019615
-21.19043,-41.889202
-22.495345,-44.106072
-22.761064,-43.324507
-22.459196,-43.810974
-22.900126,-43.075816
-22.916087,-43.369328
-22.828185,-43.408602
-22.901626,-43.111824
-22.737981,-41.987681
-22.463517,-43.470322
-22.848031,-42.332011
-22.721984,-43.392838
-22.838504,-43.403156
-22.785113,-43.412422
