COD_ID,1,2,3,4,5,6,7,8,OSM_INDUSTRIAL,OSM_SHOP
310124393,25963,2,0,42,10,2925,730,153,3.0,30.0
310125045,30502,151,0,39,18,3930,556,174,4.0,30.0
311313391,20928,1,0,39,12,2805,623,118,1.0,8.0
311314060,5396,1,0,3,1,588,248,31,2.0,3.0
335893881,2602,5,0,2,3,119,38,10,2.0,2.0
345834478,71557,8,1,126,77,7127,1766,239,0.0,70.0
432328516,17159,1,0,37,23,1772,262,83,2.0,130.0
450101398,38421,5,5,63,28,4851,1577,383,3.0,13.0
453768618,6537,0,0,5,1,279,48,23,1.0,14.0
455138316,13007,0,3,24,7,1106,558,141,8.0,3.0
457474244,33980,6,0,30,13,2665,732,129,4.0,83.0
484023983,6170,3,0,10,17,546,77,16,1.0,9.0
502844928,13121,0,0,37,6,1225,282,68,11.0,6.0
535612098,17639,6,0,12,12,197,133,5,1.0,80.0
543045036,7990,1,0,20,4,892,298,100,1.0,1.0
550392038,8332,3,14,8,8,975,909,65,3.0,2.0
550434978,13073,9,0,25,50,744,57,3,2.0,120.0
550452154,18676,44,0,28,37,2067,273,50,1.0,43.0
550477918,14418,5,0,50,8,2183,534,54,1.0,13.0
550486506,8047,2,0,21,4,883,273,44,3.0,13.0
550529446,17065,7,0,42,18,1459,246,76,1.0,66.0
550538034,30761,22,0,64,103,3390,461,118,3.0,181.0
550555219,7744,0,0,12,4,1190,170,43,0.0,29.0
550812850,2995,2,3,6,0,219,209,28,1.0,1.0
550907318,2788,0,1,3,2,231,106,24,1.0,1.0
551027550,20841,6,0,30,5,1787,709,129,3.0,3.0
55813421,28799,13,0,26,92,1609,397,5,0.0,87.0
574520576,12806,4,1,10,7,769,572,99,3.0,5.0
612564864,86,0,0,0,0,23,1,0,0.0,0.0
660138488,14185,3,1,14,4,1407,1002,239,0.0,3.0
