COD_ID;CLASSE;QTD_CLIENTES;SOMA_CAR_INST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12
ZSL;COMERCIAL;1531;15603.730000000003;2196561.3100000005;2214965.36;2420350.04;2750539.9099999997;2711071.8099999996;2710495.0700000003;3029871.0200000005;2554225.32;2344920.6100000003;2286368.08;2419458.9699999997;2225919.330000002
SAP;INDUSTRIAL;113;15711.07;5831863.19;5602023.13;5423121.819999999;6168924.97;5794989.88;5295445.0;6268076.949999999;6178463.0600000005;6276898.55;5718056.079999999;6213941.66;6369151.680000001
SAP;RESIDENCIAL;20067;9460.68;2232002.35;2259905.199999993;2437954.24;2691371.6300000157;3276790.000000002;3130269.240000048;3461001.8500000644;2144817.0400000107;2265030.0;2173960.5499999966;2313611.490000036;2565714.0
SAP;COMERCIAL;1206;6592.1900000000005;1176673.35;1127480.44;1185631.53;1434683.23;1415577.2400000002;1517593.9899999998;1481130.8800000001;1546932.35;1416057.5900000003;1433446.3699999996;1483949.6400000001;1369965.49
GUA;PODER_PUBLICO;93;1559.35;129992.97;145958.07;162499.61;194070.46000000002;223696.71000000002;274280.74;242945.59000000003;226744.61;178088.16;166235.47;198340.88;197807.47999999998
SAP;RURAL;1977;1139.4700000000012;322588.96000000084;286565.06;335453.29000000004;383408.71;384095.18000000116;381735.4;349791.58999999997;320843.88;292548.10000000003;314833.73;327390.22;317181.94
MIR;RESIDENCIAL;13116;5421.479999999992;1738558.5200000005;1775849.4499999702;2014900.37;1647105.160000013;2023964.4200000067;1924625.840000029;2181967.28999999;1389952.9199999974;1455921.0;1386193.4099999997;1452289.0899999896;1595925.0
MIR;COMERCIAL;745;2922.7700000000004;609965.1499999999;630147.24;649574.2;626810.9299999999;621149.19;710416.99;654575.52;546636.13;491955.62;470483.33;503810.78;509262.34999999986
MIR;RURAL;1308;1279.56;249015.58000000034;222002.21;258806.15999999997;249962.96;251217.46000000022;249432.0;224543.80000000002;216884.34;203422.16;214655.97;218539.02;210121.58
DIC;PODER_PUBLICO;322;21777.61;974346.5999999999;1032506.7;1165861.3899999997;1462597.61;1523577.6300000004;1783458.8500000006;1763012.1899999995;1528394.9200000002;1251731.7900000003;1208064.81;1386951.8599999999;1351537.31
CAM;COMERCIAL;376;547.6800000000003;151603.33;155128.66;184963.62;162217.94999999998;167670.13;170147.44;162804.02000000002;134991.47999999998;124107.07;119383.35;121803.05;115826.45000000008
CAM;RESIDENCIAL;6749;3164.9000000000055;854784.1799999996;880600.0999999987;953715.0;824937.5400000014;1026094.6600000014;971095.349999984;1075446.190000005;684474.6100000021;711685.0;686368.4399999966;761283.1799999959;813574.0
CAM;INDUSTRIAL;21;34.93;11139.259999999998;10888.3;12338.12;10656.5;10937.2;10394.2;10327.3;9583.1;8626.3;7942.099999999999;7856.6;8063.4
CAM;RURAL;2601;1169.6800000000026;410361.0500000001;365269.0;420392.0;404046.0;422647.02000000066;424025.0;384053.0;352967.0;338324.0;371368.0;376906.0;354639.0
CAM;PODER_PUBLICO;112;637.8000000000001;81319.32;85318.89;99637.12;111541.3;117210.69;143152.37;126383.29000000001;94937.48;89371.5;80801.68999999997;88953.72;86032.12
MOB;PODER_PUBLICO;140;6204.45;355867.31000000006;377448.87999999995;457098.81000000006;567033.6;578085.27;648600.0700000001;660457.99;557046.97;498394.1500000001;481884.01;510696.9199999999;491360.9799999999
SAF;COMERCIAL;744;1962.3899999999994;451924.78;456001.35000000003;509643.99000000005;501280.51;538756.0;564567.03;563495.47;488000.47;431505.82;424774.64;438432.39;429984.6799999998
SAF;RESIDENCIAL;14532;7106.149999999936;1627471.6399999997;1714469.649999983;1921786.0;1846832.4300000162;2275553.9400000013;2211191.4500000346;2462867.66;1511619.710000001;1575316.0;1502669.4899999988;1575337.4799999956;1703232.0
DIC;COMERCIAL;7606;65121.179999999906;8165643.329999997;8380959.3999999985;8967707.54;9271089.91;9834087.08;9439203.440000003;10500283.37;9315503.209999997;8335615.609999999;7987072.449999999;8316537.500000002;7873942.510000019
DIC;RESIDENCIAL;91977;45409.30000000383;12816450.280000001;13559552.960000342;14566635.99;13420303.649998918;16960433.220000323;16167584.019997884;18727761.449999373;11914483.659999875;12345477.6;11682129.880001703;11778028.799998863;12705799.8
DIC;INDUSTRIAL;108;4744.93;1476390.2800000003;1421830.9699999997;1474212.87;1686729.7599999998;1745471.43;1385293.0700000003;1028503.0499999999;1616883.6400000001;1561538.36;1531924.3200000003;1552688.4199999997;1621586.9700000002
VIN;PODER_PUBLICO;55;77.00000000000001;22906.0;23763.0;26338.0;30176.0;29822.0;39288.0;39651.0;35290.0;23489.0;20417.490000000005;26731.0;26513.0
SLR;RESIDENCIAL;27598;12302.7800000003;4169560.13;4549700.240000106;5181944.4799999995;4728456.2800000105;5829579.409999939;5595138.0899998015;6058817.190000051;3649328.700000036;3839734.85;3698746.129999959;3721998.640000081;3915425.12
SER;RURAL;487;282.66999999999973;73229.72999999994;71329.0;81098.54000000001;74488.0;81467.82000000005;76640.0;82719.0;74705.0;70452.0;74687.0;67850.0;64239.0
SER;RESIDENCIAL;835;367.07000000000045;107297.46000000004;95981.79999999996;91419.62;89198.61000000016;126895.34000000021;107670.85000000011;122376.58000000013;78853.83999999984;81961.0;91149.17000000004;92924.46999999994;84484.0
GUA;RESIDENCIAL;32425;11431.900000000653;2983164.7600000002;3239140.4299998856;3405326.6800000006;3492066.0600000354;4254370.4999998575;4034639.8100000247;4853796.810000155;3209214.2000001175;3254959.0;3113773.6300000935;3105312.4700001436;3204160.4
GUA;RURAL;409;179.68000000000015;55585.429999999986;56903.0;55267.5;54765.0;54112.37999999998;56583.0;50127.0;50971.0;43717.0;46070.0;44669.0;42557.0
GUA;COMERCIAL;1010;11145.819999999998;811148.02;792732.5399999998;823846.1;855218.98;887502.9099999999;832307.13;944492.8499999999;924271.3500000001;760043.8200000001;845432.34;825201.87;741748.9499999995
SAB;RURAL;168;98.37999999999995;18443.59;16861.0;19428.0;24958.0;25257.839999999986;25037.0;23997.0;20558.0;19427.0;20137.0;21632.0;20513.0
SAB;RESIDENCIAL;3429;1384.639999999991;264003.69999999995;267104.3000000008;278376.0;307099.8499999981;374686.99999999825;373276.7099999999;496758.70000000263;310361.91999999894;309823.0;289164.48999999673;280756.2500000022;280463.0
FAR;RURAL;45;36.289999999999985;11808.519999999999;8551.0;9572.0;12364.0;11500.319999999998;11242.0;10338.0;9476.0;8068.0;7812.0;7489.0;7845.0
FAR;RESIDENCIAL;10397;3368.6100000000174;829252.81;920722.2499999872;882435.43;1091376.4500000486;1178240.3399999877;1042137.819999987;1041301.4399999853;681322.9800000201;741991.0;694938.6099999868;738976.1499999658;666474.0
SAB;COMERCIAL;192;1090.4399999999996;78593.57;82226.47;84784.45000000001;81976.70000000001;95277.18;88566.20000000001;111928.20999999999;95965.77;106128.59000000001;96169.16;106212.56;126207.33
GOI;RESIDENCIAL;23144;9864.539999999859;2578822.8600000003;2628905.5999999796;2819779.09;2686063.6400000583;3343480.8800000395;3163452.900000025;3680071.9200000144;2419490.420000061;2515579.0;2389561.909999984;2363074.1700000493;2494203.0
POT;COMERCIAL;525;3324.4;362373.81;372643.18;420602.33999999997;403128.58999999997;409694.02999999997;403106.52;420841.27999999997;355454.63;324020.53;309522.16000000003;321383.99;302697.39999999997
POT;RESIDENCIAL;19595;7442.879999999865;1955810.0;2061559.4999998896;2179075.6599999997;2143482.5600000108;2652301.300000006;2305956.6600000346;2442732.220000005;1520885.54000003;1625719.0;1519202.2300000389;1503430.510000007;1578349.0
POT;RURAL;162;140.23999999999998;39367.439999999995;36204.0;46590.08;45658.0;48143.34000000002;48114.0;42211.0;43150.0;38686.0;39678.0;38239.0;35806.0
BCL;PODER_PUBLICO;20;49.45;15021.0;17937.6;16851.8;15868.2;18248.2;27269.2;25365.2;20224.8;15691.2;13082.64;15799.6;14940.4
SJB;RESIDENCIAL;2482;1080.5699999999981;322079.0;336915.6000000011;363027.56;317701.65999999864;402783.70000000065;373109.2299999994;432501.97999999946;289358.46;310069.0;285642.63000000024;283845.8500000007;296766.0
